frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.010000,0.025279,0.500000
2,0.030000,0.279050,0.500000
3,0.040000,0.409468,0.500000
4,0.060000,0.618983,0.500000
5,0.080000,0.813718,0.500000
6,0.090000,0.935703,0.500000
7,0.110000,1.153899,0.500000
8,0.120000,1.251458,0.500000
9,0.140000,1.434185,0.500000
10,0.160000,1.566009,0.500000
11,0.170000,1.623824,0.500000
12,0.190000,1.707575,0.500000
13,0.200000,1.754782,0.500000
14,0.220000,1.848544,0.500000
15,0.240000,1.869622,0.500000
16,0.250000,1.817606,0.500000
17,0.270000,1.861523,0.500000
18,0.280000,1.876095,0.500000
19,0.300000,1.864748,0.500000
20,0.320000,1.819479,0.500000
21,0.330000,1.813083,0.500000
22,0.350000,1.786607,0.500000
23,0.360000,1.777133,0.500000
24,0.380000,1.760857,0.500000
25,0.400000,1.814875,0.500000
26,0.410000,1.875378,0.500000
27,0.430001,1.967342,0.500000
28,0.440001,1.997614,0.500000
29,0.460001,2.078427,0.500000
30,0.480001,2.161408,0.500000
31,0.490001,2.200149,0.500000
32,0.510001,2.350814,0.511022
33,0.520000,2.407422,0.511022
34,0.540000,2.405992,0.511022
35,0.560000,2.291722,0.511022
36,0.570000,2.219001,0.511022
37,0.589999,2.078779,0.511022
38,0.599999,2.038055,0.511022
39,0.619999,2.021075,0.511022
40,0.639999,1.927149,0.511022
41,0.649999,1.908696,0.511022
42,0.669998,1.889008,0.511022
43,0.679998,1.817502,0.511022
44,0.699998,1.766099,0.511022
45,0.719998,1.822222,0.511022
46,0.729998,1.864023,0.511022
47,0.749997,1.921718,0.511022
48,0.759997,1.920464,0.511022
49,0.779997,1.864858,0.511022
50,0.799997,1.856955,0.511022
51,0.809997,1.837436,0.511022
52,0.829996,1.845059,0.511022
53,0.839996,1.845701,0.511022
54,0.859996,1.756809,0.511022
55,0.879996,1.624798,0.511022
56,0.889996,1.568480,0.511022
57,0.909995,1.531162,0.511022
58,0.919995,1.514559,0.511022
59,0.939995,1.544712,0.511022
60,0.959995,1.501627,0.511022
61,0.969995,1.541666,0.511022
62,0.989994,1.573997,0.511022
63,0.999994,1.606163,0.511022
64,1.019994,1.625005,0.522044
65,1.039994,1.629856,0.522044
66,1.049994,1.625764,0.522044
67,1.069993,1.627536,0.522044
68,1.079993,1.632194,0.522044
69,1.099993,1.558653,0.522044
70,1.119993,1.558028,0.522044
71,1.129993,1.628597,0.522044
72,1.149992,1.761933,0.522044
73,1.159992,1.828013,0.522044
74,1.179992,1.919672,0.522044
75,1.199992,1.948120,0.522044
76,1.209992,1.963438,0.522044
77,1.229991,1.958824,0.522044
78,1.239991,1.911532,0.522044
79,1.259991,1.776260,0.522044
80,0.010000,0.016139,0.522044
81,0.020000,0.138881,0.522044
82,0.040000,0.394087,0.522044
83,0.050000,0.513631,0.522044
84,0.070000,0.701135,0.522044
85,0.090000,0.917793,0.522044
86,0.100000,1.030546,0.522044
87,0.120000,1.230819,0.522044
88,0.130000,1.325105,0.522044
89,0.150000,1.471724,0.522044
90,0.170000,1.597952,0.522044
91,0.180000,1.635253,0.522044
92,0.200000,1.712998,0.522044
93,0.210000,1.755268,0.522044
94,0.230000,1.803883,0.522044
95,0.250000,1.789292,0.533066
96,0.260000,1.829829,0.533066
97,0.280000,1.874452,0.533066
98,0.290000,1.857187,0.533066
99,0.310000,1.738945,0.533066
100,0.330000,1.650717,0.533066
101,0.340000,1.651255,0.533066
102,0.360000,1.602481,0.533066
103,0.370000,1.602437,0.533066
104,0.390000,1.659171,0.533066
105,0.410000,1.835754,0.533066
106,0.420000,1.927250,0.533066
107,0.440001,1.923129,0.533066
108,0.450001,1.896343,0.533066
109,0.470001,1.912069,0.533066
110,0.490001,1.881420,0.533066
111,0.500001,1.868359,0.533066
112,0.520000,1.855498,0.533066
113,0.530000,1.853968,0.533066
114,0.550000,1.625904,0.533066
115,0.570000,1.093740,0.533066
116,0.580000,0.957600,0.533066
117,0.599999,0.788514,0.533066
118,0.609999,0.718842,0.533066
119,0.629999,0.738372,0.533066
120,0.649999,0.739553,0.533066
121,0.659999,0.757452,0.533066
122,0.010000,0.068619,0.533066
123,0.020000,0.027343,0.533066
124,0.040000,0.238946,0.533066
125,0.060000,0.460483,0.533066
126,0.070000,0.552750,0.544088
127,0.090000,0.748384,0.544088
128,0.100000,0.855698,0.544088
129,0.120000,1.013085,0.544088
130,0.140000,1.118552,0.544088
131,0.150000,1.170350,0.544088
132,0.170000,1.246316,0.544088
133,0.180000,1.254644,0.544088
134,0.200000,1.243842,0.544088
135,0.220000,1.212449,0.544088
136,0.230000,1.199775,0.544088
137,0.250000,1.118032,0.544088
138,0.260000,1.071890,0.544088
139,0.280000,1.045423,0.544088
140,0.300000,1.060375,0.544088
141,0.310000,1.068281,0.544088
142,0.330000,1.050921,0.544088
143,0.340000,1.037672,0.544088
144,0.360000,1.067785,0.544088
145,0.380000,1.116810,0.544088
146,0.390000,1.184486,0.544088
147,0.410000,1.280943,0.544088
148,0.420000,1.295901,0.544088
149,0.440001,1.298627,0.544088
150,0.460001,1.236574,0.544088
151,0.470001,1.227963,0.544088
152,0.490001,1.219332,0.544088
153,0.500001,1.233046,0.544088
154,0.520000,1.216048,0.544088
155,0.540000,1.235747,0.544088
156,0.550000,1.209136,0.544088
157,0.570000,1.231553,0.555110
158,0.580000,1.253332,0.555110
159,0.599999,1.322033,0.555110
160,0.619999,1.288622,0.555110
161,0.629999,1.291529,0.555110
162,0.649999,1.238647,0.555110
163,0.659999,1.218728,0.555110
164,0.679998,1.197597,0.555110
165,0.699998,1.206522,0.555110
166,0.709998,1.199149,0.555110
167,0.729998,1.165264,0.555110
168,0.739998,1.151925,0.555110
169,0.759997,1.170951,0.555110
170,0.779997,1.249948,0.555110
171,0.789997,1.281192,0.555110
172,0.809997,1.263783,0.555110
173,0.819997,1.274532,0.555110
174,0.839996,1.277169,0.555110
175,0.859996,1.211535,0.555110
176,0.869996,1.198074,0.555110
177,0.889996,1.183308,0.555110
178,0.899996,1.194650,0.555110
179,0.919995,1.172664,0.555110
180,0.939995,1.131781,0.555110
181,0.949995,1.126587,0.555110
182,0.969995,1.186199,0.555110
183,0.979994,1.219445,0.555110
184,0.999994,1.313832,0.555110
185,1.019994,1.289795,0.555110
186,1.029994,1.289571,0.555110
187,1.049994,1.262116,0.555110
188,1.059994,1.238801,0.555110
189,1.079993,1.215641,0.566132
190,1.099993,1.230539,0.566132
191,1.109993,1.225451,0.566132
192,1.129993,1.192051,0.566132
193,1.139992,1.172966,0.566132
194,1.159992,1.190444,0.566132
195,1.179992,1.255845,0.566132
196,1.189992,1.282316,0.566132
197,1.209992,1.274134,0.566132
198,1.219991,1.282350,0.566132
199,1.239991,1.294619,0.566132
200,1.259991,1.225742,0.566132
201,1.269991,1.215861,0.566132
202,1.289991,1.208656,0.566132
203,1.299990,1.218516,0.566132
204,1.319990,1.194873,0.566132
205,1.339990,1.173529,0.566132
206,1.349990,1.162788,0.566132
207,1.369990,1.196229,0.566132
208,1.379989,1.228435,0.566132
209,1.399989,1.311071,0.566132
210,1.419989,1.263106,0.566132
211,1.429989,1.293743,0.566132
212,1.449988,1.262237,0.566132
213,1.459988,1.239425,0.566132
214,1.479988,1.218710,0.566132
215,1.499988,1.233089,0.566132
216,1.509988,1.224302,0.566132
217,1.529987,1.193964,0.566132
218,1.539987,1.177714,0.566132
219,1.559987,1.195257,0.566132
220,1.579987,1.268228,0.577154
221,1.589987,1.287507,0.577154
222,1.609986,1.276973,0.577154
223,1.619986,1.294864,0.577154
224,1.639986,1.299956,0.577154
225,1.659986,1.225186,0.577154
226,1.669986,1.212365,0.577154
227,1.689985,1.204032,0.577154
228,1.699985,1.212323,0.577154
229,1.719985,1.191629,0.577154
230,1.739985,1.181465,0.577154
231,1.749985,1.168288,0.577154
232,1.769984,1.190642,0.577154
233,1.779984,1.221122,0.577154
234,1.799984,1.314476,0.577154
235,1.819984,1.272758,0.577154
236,1.829984,1.296349,0.577154
237,1.849983,1.261592,0.577154
238,1.859983,1.238904,0.577154
239,1.879983,1.219144,0.577154
240,1.899983,1.233772,0.577154
241,1.909983,1.224214,0.577154
242,1.929982,1.196578,0.577154
243,1.939982,1.167880,0.577154
244,1.959982,1.190899,0.577154
245,1.979982,1.267854,0.577154
246,1.989982,1.287354,0.577154
247,2.009982,1.279415,0.577154
248,2.019982,1.300942,0.577154
249,2.039983,1.304962,0.577154
250,2.059984,1.219479,0.577154
251,2.069985,1.201721,0.588176
252,2.089986,1.186832,0.588176
253,2.099986,1.196103,0.588176
254,2.119987,1.181114,0.588176
255,2.139988,1.195664,0.588176
256,2.149988,1.176673,0.588176
257,2.169989,1.192487,0.588176
258,2.179990,1.218039,0.588176
259,2.199991,1.285025,0.588176
260,2.219992,1.243482,0.588176
261,2.229992,1.277464,0.588176
262,2.249993,1.227902,0.588176
263,2.259994,1.200999,0.588176
264,2.279994,1.180638,0.588176
265,2.299995,1.195400,0.588176
266,2.309996,1.186558,0.588176
267,2.329997,1.153490,0.588176
268,2.339997,1.146944,0.588176
269,2.359998,1.168961,0.588176
270,2.379999,1.243264,0.588176
271,2.390000,1.272154,0.588176
272,2.410001,1.295144,0.588176
273,2.420001,1.317320,0.588176
274,2.440002,1.310173,0.588176
275,2.460003,1.233280,0.588176
276,2.470003,1.218014,0.588176
277,2.490004,1.214440,0.588176
278,2.500005,1.223466,0.588176
279,2.520006,1.202721,0.588176
280,2.540007,1.188381,0.588176
281,2.550007,1.180719,0.588176
282,2.570008,1.202655,0.599198
283,2.580009,1.231940,0.599198
284,2.600009,1.300307,0.599198
285,2.620010,1.268615,0.599198
286,2.630011,1.301648,0.599198
287,2.650012,1.255821,0.599198
288,2.660012,1.225776,0.599198
289,2.680013,1.205920,0.599198
290,2.700014,1.223247,0.599198
291,2.710015,1.215961,0.599198
292,2.730016,1.180305,0.599198
293,2.740016,1.171859,0.599198
294,2.760017,1.188141,0.599198
295,2.780018,1.246422,0.599198
296,2.790018,1.274246,0.599198
297,2.810019,1.291095,0.599198
298,2.820020,1.311455,0.599198
299,2.840021,1.317729,0.599198
300,2.860022,1.243672,0.599198
301,2.870022,1.231125,0.599198
302,2.890023,1.222221,0.599198
303,2.900023,1.229314,0.599198
304,2.920024,1.208588,0.599198
305,2.940025,1.189677,0.599198
306,2.950026,1.180992,0.599198
307,2.970027,1.236777,0.599198
308,2.980027,1.266064,0.599198
309,3.000028,1.303229,0.599198
310,3.020029,1.309854,0.599198
311,3.030030,1.315229,0.599198
312,3.050030,1.275597,0.599198
313,3.060031,1.240105,0.599198
314,3.080032,1.209906,0.610220
315,3.100033,1.222695,0.610220
316,3.110033,1.219014,0.610220
317,3.130034,1.188828,0.610220
318,3.140035,1.199374,0.610220
319,3.160036,1.204618,0.610220
320,3.180037,1.250980,0.610220
321,3.190037,1.273484,0.610220
322,3.210038,1.298861,0.610220
323,3.220038,1.282210,0.610220
324,3.240039,1.317036,0.610220
325,3.260040,1.244129,0.610220
326,3.270041,1.232778,0.610220
327,3.290042,1.226235,0.610220
328,3.300042,1.235020,0.610220
329,3.320043,1.211054,0.610220
330,3.340044,1.191795,0.610220
331,3.350044,1.184890,0.610220
332,3.370045,1.224866,0.610220
333,3.380046,1.255185,0.610220
334,3.400047,1.300282,0.610220
335,3.420048,1.313565,0.610220
336,3.430048,1.319505,0.610220
337,3.450049,1.272809,0.610220
338,3.460050,1.235420,0.610220
339,3.480051,1.203732,0.610220
340,3.500051,1.218668,0.610220
341,3.510052,1.212725,0.610220
342,3.530053,1.187048,0.610220
343,3.540053,1.183116,0.610220
344,3.560054,1.195536,0.610220
345,3.580055,1.252971,0.621243
346,3.590056,1.269678,0.621243
347,3.610057,1.291066,0.621243
348,3.620057,1.317972,0.621243
349,3.640058,1.319143,0.621243
350,3.660059,1.235782,0.621243
351,3.670059,1.219515,0.621243
352,3.690060,1.212564,0.621243
353,3.700061,1.221215,0.621243
354,3.720062,1.201161,0.621243
355,3.740063,1.188514,0.621243
356,3.750063,1.181125,0.621243
357,3.770064,1.214063,0.621243
358,3.780065,1.242250,0.621243
359,3.800066,1.298372,0.621243
360,3.820066,1.272505,0.621243
361,3.830067,1.305832,0.621243
362,3.850068,1.263402,0.621243
363,3.860068,1.231241,0.621243
364,3.880069,1.204083,0.621243
365,3.900070,1.220194,0.621243
366,3.910071,1.210124,0.621243
367,3.930072,1.178366,0.621243
368,3.940072,1.167798,0.621243
369,3.960073,1.188165,0.621243
370,3.980074,1.258056,0.621243
371,3.990074,1.268928,0.621243
372,4.010074,1.280520,0.621243
373,4.020073,1.304862,0.621243
374,4.040072,1.315351,0.621243
375,4.060071,1.238805,0.621243
376,4.070070,1.227310,0.632265
