frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.010000,0.007098,0.500000
2,0.030000,0.268616,0.500000
3,0.040000,0.396070,0.500000
4,0.060000,0.619248,0.500000
5,0.080000,0.864375,0.500000
6,0.090000,0.959750,0.500000
7,0.110000,1.151900,0.500000
8,0.120000,1.272757,0.500000
9,0.140000,1.387403,0.500000
10,0.160000,1.369672,0.500000
11,0.170000,1.362798,0.500000
12,0.190000,1.362129,0.500000
13,0.200000,1.359040,0.500000
14,0.220000,1.384259,0.500000
15,0.240000,1.381710,0.500000
16,0.250000,1.430390,0.500000
17,0.270000,1.447166,0.500000
18,0.280000,1.432638,0.500000
19,0.300000,1.420479,0.500000
20,0.320000,1.424524,0.500000
21,0.330000,1.466392,0.500000
22,0.350000,1.579888,0.500000
23,0.360000,1.651988,0.500000
24,0.380000,1.673711,0.500000
25,0.400000,1.640745,0.500000
26,0.410000,1.648026,0.500000
27,0.430001,1.578905,0.500000
28,0.440001,1.532702,0.500000
29,0.460001,1.367245,0.500000
30,0.480001,1.247801,0.500000
31,0.490001,1.277020,0.500000
32,0.510001,1.176921,0.511022
33,0.520000,1.198542,0.511022
34,0.540000,1.326813,0.511022
35,0.560000,1.434703,0.511022
36,0.570000,1.480694,0.511022
37,0.589999,1.463459,0.511022
38,0.599999,1.429304,0.511022
39,0.619999,1.396926,0.511022
40,0.639999,1.320212,0.511022
41,0.649999,1.229454,0.511022
42,0.669998,0.963902,0.511022
43,0.679998,0.927700,0.511022
44,0.699998,0.812270,0.511022
45,0.719998,0.835796,0.511022
46,0.729998,0.891470,0.511022
47,0.749997,1.070343,0.511022
48,0.759997,1.119087,0.511022
49,0.779997,1.166767,0.511022
50,0.799997,1.220099,0.511022
51,0.809997,1.222214,0.511022
52,0.829996,1.230155,0.511022
53,0.839996,1.252559,0.511022
54,0.859996,1.236868,0.511022
55,0.879996,1.165923,0.511022
56,0.889996,1.067397,0.511022
57,0.909995,0.988033,0.511022
58,0.919995,0.922628,0.511022
59,0.939995,0.979308,0.511022
60,0.959995,1.137586,0.511022
61,0.969995,1.199294,0.511022
62,0.989994,1.180750,0.511022
63,0.999994,1.173463,0.511022
64,1.019994,1.140152,0.522044
65,1.039994,1.109244,0.522044
66,1.049994,1.074466,0.522044
67,1.069993,1.039112,0.522044
68,1.079993,0.917921,0.522044
69,1.099993,0.762363,0.522044
70,1.119993,0.736871,0.522044
71,1.129993,0.712438,0.522044
72,1.149992,0.801797,0.522044
73,1.159992,0.861353,0.522044
74,1.179992,1.027200,0.522044
75,1.199992,1.080936,0.522044
76,1.209992,1.095691,0.522044
77,1.229991,1.102384,0.522044
78,1.239991,1.089713,0.522044
79,1.259991,1.126728,0.522044
80,1.279991,1.066819,0.522044
81,1.289991,0.992854,0.522044
82,1.309990,0.905394,0.522044
83,1.319990,0.879846,0.522044
84,1.339990,0.880875,0.522044
85,1.359990,1.014863,0.522044
86,1.369990,1.103013,0.522044
87,1.389989,1.211179,0.522044
88,1.399989,1.231914,0.522044
89,1.419989,1.211478,0.522044
90,1.439989,1.205355,0.522044
91,1.449988,1.166595,0.522044
92,1.469988,1.106717,0.522044
93,1.479988,1.107624,0.522044
94,1.499988,0.921026,0.522044
95,1.519988,0.874730,0.533066
96,1.529987,0.820377,0.533066
97,1.549987,0.869432,0.533066
98,1.559987,0.925239,0.533066
99,1.579987,1.075147,0.533066
100,1.599987,1.155390,0.533066
101,1.609986,1.194316,0.533066
102,1.629986,1.206335,0.533066
103,1.639986,1.193864,0.533066
104,1.659986,1.113565,0.533066
105,1.679986,1.153688,0.533066
106,1.689985,1.110065,0.533066
107,1.709985,0.945472,0.533066
108,1.719985,0.979578,0.533066
109,1.739985,0.876763,0.533066
110,1.759984,0.993987,0.533066
111,1.769984,1.063007,0.533066
112,1.789984,1.218788,0.533066
113,1.799984,1.260187,0.533066
114,1.819984,1.316731,0.533066
115,1.839983,1.300433,0.533066
116,1.849983,1.261693,0.533066
117,1.869983,1.202348,0.533066
118,1.879983,1.224228,0.533066
119,1.899983,1.117588,0.533066
120,1.919982,1.003248,0.533066
121,1.929982,0.951502,0.533066
122,1.949982,0.950432,0.533066
123,1.959982,1.007832,0.533066
124,1.979982,1.150312,0.533066
125,1.999981,1.251120,0.533066
126,2.009982,1.287086,0.544088
127,2.029983,1.283429,0.544088
128,2.039983,1.284931,0.544088
129,2.059984,1.219225,0.544088
130,2.079985,1.191954,0.544088
131,2.089986,1.149794,0.544088
132,2.109987,0.975076,0.544088
133,2.119987,0.969472,0.544088
134,2.139988,0.859730,0.544088
135,2.159989,0.962583,0.544088
136,2.169989,1.030705,0.544088
137,2.189990,1.208655,0.544088
138,2.199991,1.241900,0.544088
139,2.219992,1.278137,0.544088
140,2.239993,1.262655,0.544088
141,2.249993,1.237936,0.544088
142,2.269994,1.166381,0.544088
143,2.279994,1.147855,0.544088
144,2.299995,1.112148,0.544088
145,2.319996,0.950086,0.544088
146,2.329997,0.903002,0.544088
147,2.349998,0.854084,0.544088
148,2.359998,0.922446,0.544088
149,2.379999,1.076831,0.544088
150,2.400000,1.207088,0.544088
151,2.410001,1.262484,0.544088
152,2.430001,1.287292,0.544088
153,2.440002,1.269358,0.544088
154,2.460003,1.237424,0.544088
155,2.480004,1.147781,0.544088
156,2.490004,1.101382,0.544088
157,2.510005,0.908285,0.555110
158,2.520006,0.884974,0.555110
159,2.540007,0.775985,0.555110
160,2.560008,0.811417,0.555110
161,2.570008,0.855697,0.555110
162,2.590009,1.035603,0.555110
163,2.600009,1.099425,0.555110
164,2.620010,1.162288,0.555110
165,2.640011,1.173687,0.555110
166,2.650012,1.180541,0.555110
167,2.670013,1.173996,0.555110
168,2.680013,1.189040,0.555110
169,2.700014,1.220003,0.555110
170,2.720015,1.054014,0.555110
171,2.730016,0.997812,0.555110
172,2.750016,0.917959,0.555110
173,2.760017,0.934092,0.555110
174,2.780018,1.068104,0.555110
175,2.800019,1.213138,0.555110
176,2.810019,1.251602,0.555110
177,2.830020,1.232889,0.555110
178,2.840021,1.210009,0.555110
179,2.860022,1.211258,0.555110
180,2.880023,1.140417,0.555110
181,2.890023,1.099831,0.555110
182,2.910024,0.901933,0.555110
183,2.920024,0.826252,0.555110
184,2.940025,0.777242,0.555110
185,2.960026,0.695679,0.555110
186,2.970027,0.742379,0.555110
187,2.990028,0.863303,0.555110
188,3.000028,0.957490,0.555110
189,3.020029,1.061745,0.566132
190,3.040030,1.131178,0.566132
191,3.050030,1.126194,0.566132
192,3.070031,1.121313,0.566132
193,3.080032,1.148324,0.566132
194,3.100033,1.140579,0.566132
195,3.120034,1.073342,0.566132
196,3.130034,0.978795,0.566132
197,3.150035,0.936588,0.566132
198,3.160036,0.870713,0.566132
199,3.180037,0.958596,0.566132
200,3.200037,1.098249,0.566132
201,3.210038,1.184945,0.566132
202,3.230039,1.255263,0.566132
203,3.240039,1.287299,0.566132
204,3.260040,1.157512,0.566132
205,3.280041,1.139904,0.566132
206,3.290042,1.102386,0.566132
207,3.310043,1.112555,0.566132
208,3.320043,1.079881,0.566132
209,3.340044,0.919253,0.566132
210,3.360045,0.870984,0.566132
211,3.370045,0.852868,0.566132
212,3.390046,0.964280,0.566132
213,3.400047,1.038738,0.566132
214,3.420048,1.197006,0.566132
215,3.440049,1.280675,0.566132
216,3.450049,1.307582,0.566132
217,3.470050,1.267166,0.566132
218,3.480051,1.206190,0.566132
219,3.500051,1.125649,0.566132
220,3.520052,1.055699,0.577154
221,3.530053,0.995745,0.577154
222,3.550054,0.976398,0.577154
223,3.560054,0.875097,0.577154
224,3.580055,0.829753,0.577154
225,3.600056,0.938245,0.577154
226,3.610057,1.038055,0.577154
227,3.630058,1.186456,0.577154
228,3.640058,1.201344,0.577154
229,3.660059,1.245528,0.577154
230,3.680060,1.240655,0.577154
231,3.690060,1.214821,0.577154
232,3.710061,1.225345,0.577154
233,3.720062,1.249829,0.577154
234,3.740063,1.158623,0.577154
235,3.760064,1.061664,0.577154
236,3.770064,1.010169,0.577154
237,3.790065,1.021206,0.577154
238,3.800066,1.085888,0.577154
239,3.820066,1.239854,0.577154
240,3.840067,1.283666,0.577154
241,3.850068,1.289372,0.577154
242,3.870069,1.242555,0.577154
243,3.880069,1.265386,0.577154
244,3.900070,1.191790,0.577154
245,3.920071,1.132457,0.577154
246,3.930072,0.992804,0.577154
247,3.950073,0.836804,0.577154
248,3.960073,0.840165,0.577154
249,3.980074,0.711723,0.577154
250,4.000075,0.803791,0.577154
251,4.010074,0.872967,0.588176
252,4.030073,1.069887,0.588176
253,4.040072,1.112795,0.588176
254,4.060071,1.158284,0.588176
255,4.080069,1.228493,0.588176
256,4.090068,1.242672,0.588176
257,4.110067,1.232759,0.588176
258,4.120066,1.234200,0.588176
259,4.140065,1.179496,0.588176
260,4.160063,1.047774,0.588176
261,4.170063,0.978934,0.588176
262,4.190061,0.906116,0.588176
263,4.200060,0.901374,0.588176
264,4.220059,1.036661,0.588176
265,4.240057,1.214751,0.588176
266,4.250057,1.279789,0.588176
267,4.270055,1.247479,0.588176
268,4.280055,1.153768,0.588176
269,4.300053,1.142609,0.588176
270,4.320052,1.080060,0.588176
271,4.330051,1.067358,0.588176
272,4.350049,1.065251,0.588176
273,4.360049,0.971376,0.588176
274,4.380047,0.871627,0.588176
275,4.400046,0.799510,0.588176
276,4.410045,0.844186,0.588176
277,4.430044,0.960278,0.588176
278,4.440043,1.057981,0.588176
279,4.460042,1.150407,0.588176
280,4.480040,1.231457,0.588176
281,4.490039,1.258712,0.588176
282,4.510038,1.127326,0.599198
283,4.520037,1.079747,0.599198
284,4.540036,1.013204,0.599198
285,4.560034,0.977096,0.599198
286,4.570034,0.900611,0.599198
287,4.590032,0.893194,0.599198
288,4.600031,0.820759,0.599198
289,4.620030,0.922204,0.599198
290,4.640028,1.084676,0.599198
291,4.650028,1.183840,0.599198
292,4.670026,1.277118,0.599198
293,4.680026,1.315211,0.599198
294,4.700024,1.308017,0.599198
295,4.720023,1.265855,0.599198
296,4.730022,1.220918,0.599198
297,4.750021,1.250377,0.599198
298,4.760020,1.191926,0.599198
299,4.780018,1.020087,0.599198
300,4.800017,0.948877,0.599198
301,4.810016,0.918077,0.599198
302,4.830015,1.029137,0.599198
303,4.840014,1.105346,0.599198
304,4.860013,1.241291,0.599198
305,4.880011,1.343905,0.599198
306,4.890010,1.316346,0.599198
307,4.910009,1.303847,0.599198
308,4.920008,1.276341,0.599198
309,4.940007,1.234675,0.599198
310,4.960005,1.158639,0.599198
311,4.970005,1.056045,0.599198
312,4.990003,0.994713,0.599198
313,5.000002,0.927736,0.599198
314,5.020001,0.937815,0.610220
315,5.039999,1.072873,0.610220
316,5.049999,1.160154,0.610220
317,5.069997,1.266746,0.610220
318,5.079997,1.291594,0.610220
319,5.099995,1.277825,0.610220
320,5.119994,1.235685,0.610220
321,5.129993,1.189710,0.610220
322,5.149992,1.229499,0.610220
323,5.159991,1.204363,0.610220
324,5.179989,1.018169,0.610220
325,5.199988,0.940550,0.610220
326,5.209987,0.902247,0.610220
327,5.229986,1.024181,0.610220
328,5.239985,1.104849,0.610220
329,5.259984,1.272721,0.610220
330,5.279982,1.355571,0.610220
331,5.289981,1.384880,0.610220
332,5.309980,1.368120,0.610220
333,5.319979,1.334737,0.610220
334,5.339978,1.264109,0.610220
335,5.359976,1.227487,0.610220
336,5.369976,1.133344,0.610220
337,5.389974,1.048359,0.610220
338,5.399973,0.979451,0.610220
339,5.419972,0.952119,0.610220
340,5.439970,1.064797,0.610220
341,5.449970,1.160047,0.610220
342,5.469968,1.279750,0.610220
343,5.479968,1.297444,0.610220
344,5.499966,1.299301,0.610220
345,5.519965,1.270669,0.621243
346,5.529964,1.227956,0.621243
347,5.549963,1.196438,0.621243
348,5.559962,1.218762,0.621243
349,5.579960,1.058356,0.621243
350,5.599959,0.972358,0.621243
351,5.609958,0.898409,0.621243
352,5.629957,0.993709,0.621243
353,5.639956,1.055898,0.621243
354,5.659955,1.231845,0.621243
355,5.679953,1.318288,0.621243
356,5.689952,1.346637,0.621243
357,5.709951,1.308805,0.621243
358,5.719950,1.299558,0.621243
359,5.739949,1.227535,0.621243
360,5.759947,1.203472,0.621243
361,5.769947,1.109797,0.621243
362,5.789945,1.004448,0.621243
363,5.799944,0.972738,0.621243
364,5.819943,0.916254,0.621243
365,5.839942,1.035112,0.621243
366,5.849941,1.112297,0.621243
367,5.869939,1.247591,0.621243
368,5.879939,1.299245,0.621243
369,5.899937,1.288080,0.621243
370,5.919936,1.275172,0.621243
371,5.929935,1.243621,0.621243
372,5.949934,1.203030,0.621243
373,5.959933,1.239979,0.621243
374,5.979931,1.081565,0.621243
375,5.999930,1.026036,0.621243
376,6.009929,0.959368,0.632265
377,6.029928,1.032982,0.632265
378,6.039927,1.101652,0.632265
379,6.059926,1.242812,0.632265
380,6.079924,1.338911,0.632265
381,6.089923,1.357482,0.632265
382,6.109922,1.318375,0.632265
383,6.119921,1.316485,0.632265
384,6.139920,1.241127,0.632265
385,6.159918,1.190788,0.632265
386,6.169918,1.083234,0.632265
387,6.189916,0.984904,0.632265
388,6.199915,0.964186,0.632265
389,6.219914,0.903668,0.632265
390,6.239913,1.017673,0.632265
391,6.249912,1.099221,0.632265
392,6.269910,1.235886,0.632265
393,6.279910,1.283212,0.632265
394,6.299908,1.274560,0.632265
395,6.319907,1.264258,0.632265
396,6.329906,1.234943,0.632265
397,6.349905,1.224783,0.632265
398,6.359904,1.272115,0.632265
399,6.379902,1.104550,0.632265
400,6.399901,1.032886,0.632265
401,6.409900,0.965463,0.632265
402,6.429899,1.037191,0.632265
403,6.439898,1.107649,0.632265
404,6.459897,1.254894,0.632265
405,6.479895,1.347554,0.632265
406,6.489894,1.377207,0.632265
407,6.509893,1.343976,0.643287
408,6.519892,1.337569,0.643287
409,6.539891,1.257597,0.643287
410,6.559889,1.157368,0.643287
411,6.569889,1.045941,0.643287
412,6.589887,0.953963,0.643287
413,6.599886,0.935245,0.643287
414,6.619885,0.871359,0.643287
415,6.639884,0.971038,0.643287
416,6.649883,1.058671,0.643287
417,6.669881,1.206357,0.643287
418,6.679881,1.246640,0.643287
419,6.699879,1.252996,0.643287
420,6.719878,1.249807,0.643287
421,6.729877,1.224069,0.643287
422,6.749876,1.221360,0.643287
423,6.759875,1.273476,0.643287
424,6.779873,1.134615,0.643287
425,6.799872,1.066738,0.643287
426,6.809871,0.996944,0.643287
427,6.829870,1.034951,0.643287
428,6.839869,1.099971,0.643287
429,6.859868,1.260120,0.643287
430,6.879866,1.369524,0.643287
431,6.889865,1.402567,0.643287
432,6.909864,1.392272,0.643287
433,6.919863,1.391083,0.643287
434,6.939862,1.312200,0.643287
435,6.959860,1.247790,0.643287
436,6.969860,1.134202,0.643287
437,6.989858,0.970903,0.643287
438,6.999857,0.971544,0.643287
439,7.019856,0.862574,0.654309
440,7.039855,0.954965,0.654309
441,7.049854,1.026884,0.654309
442,7.069852,1.191406,0.654309
443,7.079852,1.232973,0.654309
444,7.099850,1.246725,0.654309
445,7.119849,1.241110,0.654309
446,7.129848,1.213882,0.654309
447,7.149847,1.227607,0.654309
448,7.159846,1.224834,0.654309
449,7.179844,1.122488,0.654309
450,7.199843,1.040528,0.654309
451,7.209842,0.994695,0.654309
452,7.229841,1.012146,0.654309
453,7.239840,1.078094,0.654309
454,7.259839,1.236775,0.654309
455,7.279837,1.346814,0.654309
456,7.289836,1.387751,0.654309
457,7.309835,1.383820,0.654309
458,7.319834,1.390353,0.654309
459,7.339833,1.315658,0.654309
460,7.359831,1.259946,0.654309
461,7.369831,1.157299,0.654309
462,7.389829,0.976888,0.654309
463,7.399828,0.990856,0.654309
464,7.419827,0.873924,0.654309
465,7.439826,0.967445,0.654309
466,7.449825,1.030102,0.654309
467,7.469823,1.206982,0.654309
468,7.479823,1.253651,0.654309
469,7.499821,1.281739,0.654309
470,7.519820,1.272178,0.665331
471,7.529819,1.250788,0.665331
472,7.549818,1.274196,0.665331
473,7.559817,1.239196,0.665331
474,7.579815,1.122366,0.665331
475,7.599814,1.075651,0.665331
476,7.609813,1.031014,0.665331
477,7.629812,1.009033,0.665331
478,7.639811,1.072362,0.665331
479,7.659810,1.219375,0.665331
480,7.679808,1.347187,0.665331
481,7.689807,1.387073,0.665331
482,7.709806,1.352023,0.665331
483,7.719805,1.367167,0.665331
484,7.739804,1.285560,0.665331
485,7.759802,1.264026,0.665331
486,7.769802,1.181741,0.665331
487,7.789800,1.004642,0.665331
488,7.799799,1.024424,0.665331
489,7.819798,0.928118,0.665331
490,7.839797,1.028813,0.665331
491,7.849796,1.090871,0.665331
492,7.869794,1.257533,0.665331
493,7.879794,1.325487,0.665331
494,7.899792,1.359653,0.665331
495,7.919791,1.343126,0.665331
496,7.929790,1.320322,0.665331
497,7.949789,1.311026,0.665331
498,7.959788,1.283807,0.665331
499,7.979786,1.156929,0.665331
500,7.999785,1.102668,0.665331
501,8.009785,1.057491,0.676353
502,8.029783,1.027175,0.676353
503,8.039783,1.090129,0.676353
504,8.059781,1.235976,0.676353
505,8.079780,1.374192,0.676353
506,8.089779,1.381859,0.676353
507,8.109777,1.369594,0.676353
508,8.119777,1.370617,0.676353
509,8.139775,1.295308,0.676353
510,8.159774,1.289415,0.676353
511,8.169773,1.260989,0.676353
512,8.189772,1.087155,0.676353
513,8.199771,1.090494,0.676353
514,8.219769,0.987642,0.676353
515,8.239768,1.091156,0.676353
516,8.249767,1.161750,0.676353
517,8.269766,1.319914,0.676353
518,8.279765,1.375023,0.676353
519,8.299764,1.425386,0.676353
520,8.319762,1.403693,0.676353
521,8.329762,1.381083,0.676353
522,8.349760,1.308683,0.676353
523,8.359759,1.297791,0.676353
524,8.379758,1.203168,0.676353
525,8.399756,1.094844,0.676353
526,8.409756,1.067748,0.676353
527,8.429754,1.049543,0.676353
528,8.439754,1.109163,0.676353
529,8.459752,1.260900,0.676353
530,8.479751,1.385321,0.676353
531,8.489750,1.395997,0.676353
532,8.509748,1.373085,0.687375
533,8.519748,1.371373,0.687375
534,8.539746,1.289888,0.687375
535,8.559745,1.260997,0.687375
536,8.569744,1.289893,0.687375
537,8.589743,1.115713,0.687375
538,8.599742,1.091966,0.687375
539,8.619740,0.985205,0.687375
540,8.639739,1.092749,0.687375
541,8.649738,1.163655,0.687375
542,8.669737,1.327349,0.687375
543,8.679736,1.370826,0.687375
