frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.010000,0.000000,0.500000
2,0.030000,0.119411,0.500000
3,0.040000,0.254083,0.500000
4,0.060000,0.202060,0.500000
5,0.080000,0.057915,0.500000
6,0.090000,0.009494,0.500000
7,0.110000,0.029662,0.500000
8,0.120000,0.063965,0.500000
9,0.010000,0.145625,0.500000
10,0.030000,0.109171,0.500000
11,0.040000,0.251637,0.500000
12,0.060000,0.252952,0.500000
13,0.070000,0.234191,0.500000
14,0.090000,0.118214,0.500000
15,0.110000,0.015674,0.500000
16,0.120000,0.047933,0.500000
17,0.140000,0.006954,0.500000
18,0.150000,0.076024,0.500000
19,0.000000,0.006175,0.500000
20,0.020000,0.020907,0.500000
21,0.030000,0.200454,0.500000
22,0.050000,0.244172,0.500000
23,0.060000,0.143256,0.500000
24,0.000000,0.018959,0.500000
25,0.020000,0.062234,0.500000
26,0.030000,0.088864,0.500000
27,0.050000,0.196364,0.500000
28,0.060000,0.276075,0.500000
29,0.080000,0.445731,0.500000
30,0.100000,0.717625,0.500000
31,0.110000,0.788517,0.500000
32,0.130000,1.054915,0.511022
33,0.140000,1.138902,0.511022
34,0.160000,1.213708,0.511022
35,0.180000,1.210491,0.511022
36,0.190000,1.283368,0.511022
37,0.210000,1.508317,0.511022
38,0.220000,1.496593,0.511022
39,0.240000,1.471402,0.511022
40,0.260000,1.544141,0.511022
41,0.270000,1.557768,0.511022
42,0.290000,1.615216,0.511022
43,0.300000,1.576825,0.511022
44,0.320000,1.597663,0.511022
45,0.340000,1.591397,0.511022
46,0.350000,1.594236,0.511022
47,0.370000,1.576022,0.511022
48,0.380000,1.626846,0.511022
49,0.400000,1.709629,0.511022
50,0.420000,1.842268,0.511022
51,0.430001,1.786936,0.511022
52,0.450001,1.892311,0.511022
53,0.460001,1.819546,0.511022
54,0.480001,1.670142,0.511022
55,0.500001,1.629193,0.511022
56,0.510001,1.633576,0.511022
57,0.530000,1.521129,0.511022
58,0.540000,1.435197,0.511022
59,0.560000,1.300734,0.511022
60,0.580000,1.327857,0.511022
61,0.589999,1.341398,0.511022
62,0.609999,1.355705,0.511022
63,0.619999,1.491975,0.511022
64,0.639999,1.468313,0.522044
65,0.659999,1.531531,0.522044
66,0.669998,1.556993,0.522044
67,0.689998,1.451015,0.522044
68,0.699998,1.459407,0.522044
69,0.719998,1.483185,0.522044
70,0.739998,1.354174,0.522044
71,0.749997,1.219036,0.522044
72,0.769997,1.160267,0.522044
73,0.779997,1.196616,0.522044
74,0.799997,1.192053,0.522044
75,0.819997,1.223342,0.522044
76,0.829996,1.240981,0.522044
77,0.849996,1.316408,0.522044
78,0.859996,1.369305,0.522044
79,0.879996,1.362255,0.522044
80,0.899996,1.342597,0.522044
81,0.909995,1.349077,0.522044
82,0.929995,1.344884,0.522044
83,0.939995,1.366395,0.522044
84,0.959995,1.210228,0.522044
85,0.979994,1.109947,0.522044
86,0.989994,1.114301,0.522044
87,1.009994,1.150696,0.522044
88,1.019994,1.151101,0.522044
89,1.039994,1.307166,0.522044
90,1.059994,1.370653,0.522044
91,1.069993,1.360054,0.522044
92,1.089993,1.404256,0.522044
93,1.099993,1.391556,0.522044
94,1.119993,1.474831,0.522044
95,1.139992,1.509710,0.533066
96,1.149992,1.493716,0.533066
97,1.169992,1.374615,0.533066
98,1.179992,1.278268,0.533066
99,1.199992,1.230307,0.533066
100,1.219991,1.311359,0.533066
101,1.229991,1.350634,0.533066
102,1.249991,1.340753,0.533066
103,1.259991,1.536836,0.533066
104,1.279991,1.536681,0.533066
105,1.299990,1.586615,0.533066
106,1.309990,1.579425,0.533066
107,1.329990,1.569871,0.533066
108,1.339990,1.580238,0.533066
109,1.359990,1.578591,0.533066
110,1.379989,1.467758,0.533066
111,1.389989,1.329283,0.533066
112,1.409989,1.345329,0.533066
113,1.419989,1.295802,0.533066
114,1.439989,1.281242,0.533066
